"zcta5","state","puma12","stab","zipname","PUMAname","intptlon","intptlat","pop16","afact"
"ZIP census tabulation area","State code","PUMA (2012)","State abbreviation","ZCTA name","PUMA12 name","Wtd centroid W longitude, degrees","Wtd centroid latitude, degrees","Population (2016 est.)","zcta5 to puma12 allocation factor"
"20743","24","01107","MD","Coral Hills, MD","Prince Georges County (Southwest)--Oxon Hill, Hillcrest Heights & Temple Hills",-76.94049,38.865617,1618.548807,0.039849 
"20744","24","01106","MD","Fort Washington, MD","Prince Georges County (South)--Clinton, Fort Washington (South), Rosaryville & Croom",-76.98173,38.739507,28544.932892,0.535113 
"20744","24","01107","MD","Fort Washington, MD","Prince Georges County (Southwest)--Oxon Hill, Hillcrest Heights & Temple Hills",-76.982144,38.781542,24798.81798,0.464887 
"20745","24","01107","MD","Glassmanor, MD","Prince Georges County (Southwest)--Oxon Hill, Hillcrest Heights & Temple Hills",-76.989103,38.810659,29921.593314,1 
"20746","24","01104","MD","Suitland, MD","Prince Georges County (Central)--Seat Pleasant City, Capitol Heights Town & Landover",-76.923174,38.852941,2960.503504,0.097614 
"20746","24","01107","MD","Suitland, MD","Prince Georges County (Southwest)--Oxon Hill, Hillcrest Heights & Temple Hills",-76.92091,38.839333,27368.093311,0.902386 
"20747","24","01104","MD","Forestville, MD","Prince Georges County (Central)--Seat Pleasant City, Capitol Heights Town & Landover",-76.890427,38.854084,42124.336529,1 
"20748","24","01106","MD","Hillcrest Heights, MD","Prince Georges County (South)--Clinton, Fort Washington (South), Rosaryville & Croom",-76.914521,38.790455,3550.500827,0.087028 
"20748","24","01107","MD","Hillcrest Heights, MD","Prince Georges County (Southwest)--Oxon Hill, Hillcrest Heights & Temple Hills",-76.949995,38.823764,37246.604647,0.912971 
"20751","24","01204","MD","Deale, MD","Anne Arundel County (Southeast)--Annapolis City, Parole, Annapolis Neck & Edgewater",-76.550111,38.78398,2476.741035,1 
"20754","24","01204","MD","Dunkirk, MD","Anne Arundel County (Southeast)--Annapolis City, Parole, Annapolis Neck & Edgewater",-76.609097,38.755626,1081.393973,0.150668 
"20754","24","01500","MD","Dunkirk, MD","St. Marys & Calvert Counties",-76.659686,38.732984,6095.945637,0.849332 
"20755","24","01201","MD","Fort Meade, MD","Anne Arundel County (Northwest)--Severn, Odenton, Crofton, Maryland City & Fort Meade",-76.748731,39.113557,9832.968463,1 
"20758","24","01204","MD","Friendship, MD","Anne Arundel County (Southeast)--Annapolis City, Parole, Annapolis Neck & Edgewater",-76.593125,38.735436,762.155479,1 
"20759","24","00901","MD","Fulton, MD","Howard County (West)--Columbia (West) & Ellicott City (Northwest)",-76.921451,39.158178,3707.322622,1 
"20762","24","01106","MD","Andrews AFB, MD","Prince Georges County (South)--Clinton, Fort Washington (South), Rosaryville & Croom",-76.893472,38.800299,3126.670308,1 
"20763","24","00902","MD","Savage, MD","Howard County (East)--Columbia (East), Ellicott City (Southeast) & Elkridge",-76.821813,39.138965,2943.757814,1 
"20764","24","01204","MD","Shady Side, MD","Anne Arundel County (Southeast)--Annapolis City, Parole, Annapolis Neck & Edgewater",-76.511382,38.834351,4414.370705,1 
"20765","24","01204","MD","Galesville, MD","Anne Arundel County (Southeast)--Annapolis City, Parole, Annapolis Neck & Edgewater",-76.547338,38.844889,543.339689,1 
"20769","24","01102","MD","Glenn Dale, MD","Prince Georges County (North)--Laurel, Greenbelt (North & East) Cities & Beltsville",-76.81475,38.998677,1431.34823,0.206087 
"20769","24","01105","MD","Glenn Dale, MD","Prince Georges County (East)--Bowie City, Kettering, Largo, Mitchellville & Lanham",-76.80647,38.975717,5514.003506,0.793912 
"20770","24","01101","MD","Greenbelt, MD","Prince Georges County (Northwest)--College Park City & Langley Park",-76.90335,39.003677,7699.412486,0.290827 
"20770","24","01102","MD","Greenbelt, MD","Prince Georges County (North)--Laurel, Greenbelt (North & East) Cities & Beltsville",-76.872965,38.995958,18774.745487,0.709172 
"20772","24","01105","MD","Marlboro Village, MD","Prince Georges County (East)--Bowie City, Kettering, Largo, Mitchellville & Lanham",-76.765871,38.827424,19708.644993,0.439648 
"20772","24","01106","MD","Marlboro Village, MD","Prince Georges County (South)--Clinton, Fort Washington (South), Rosaryville & Croom",-76.804056,38.7702,25119.583013,0.560352 
"20774","24","01105","MD","Kettering, MD","Prince Georges County (East)--Bowie City, Kettering, Largo, Mitchellville & Lanham",-76.805906,38.886287,45236.283196,1 
"20776","24","01204","MD","Harwood, MD","Anne Arundel County (Southeast)--Annapolis City, Parole, Annapolis Neck & Edgewater",-76.624917,38.871281,3476.739763,1 
"20777","24","00901","MD","Highland, MD","Howard County (West)--Columbia (West) & Ellicott City (Northwest)",-76.967857,39.178695,3612.291402,0.986795 
"20777","24","01001","MD","Highland, MD","Montgomery County (North & West)--Olney, Damascus, Clarksburg & Darnestown",-76.997763,39.162319,48.338081,0.013205 
"20778","24","01204","MD","Shady Side, MD","Anne Arundel County (Southeast)--Annapolis City, Parole, Annapolis Neck & Edgewater",-76.548086,38.829028,2123.675945,1 
"20779","24","01204","MD","Tracys Landing, MD","Anne Arundel County (Southeast)--Annapolis City, Parole, Annapolis Neck & Edgewater",-76.575722,38.7647,1249.469869,1 
"20781","24","01103","MD","Hyattsville, MD","Prince Georges County (Northwest)--New Carrollton & Hyattsville (Southeast) Cities",-76.936118,38.952457,12031.317968,1 
"20782","24","01101","MD","Chillum, MD","Prince Georges County (Northwest)--College Park City & Langley Park",-76.966607,38.96584,25104.859372,0.781119 
"20782","24","01103","MD","Chillum, MD","Prince Georges County (Northwest)--New Carrollton & Hyattsville (Southeast) Cities",-76.966627,38.954456,7034.74527,0.218881 
"20783","24","01101","MD","Langley Park, MD","Prince Georges County (Northwest)--College Park City & Langley Park",-76.977627,38.988145,44006.859183,0.940589 
"20783","24","01102","MD","Langley Park, MD","Prince Georges County (North)--Laurel, Greenbelt (North & East) Cities & Beltsville",-76.956978,39.028548,2779.613059,0.059411 
"20784","24","01102","MD","New Carrollton, MD","Prince Georges County (North)--Laurel, Greenbelt (North & East) Cities & Beltsville",-76.866281,38.965293,243.991763,0.007878 
"20784","24","01103","MD","New Carrollton, MD","Prince Georges County (Northwest)--New Carrollton & Hyattsville (Southeast) Cities",-76.890209,38.951129,30727.186807,0.992122 
"20785","24","01103","MD","Landover, MD","Prince Georges County (Northwest)--New Carrollton & Hyattsville (Southeast) Cities",-76.910746,38.927519,6779.184932,0.183898 
"20785","24","01104","MD","Landover, MD","Prince Georges County (Central)--Seat Pleasant City, Capitol Heights Town & Landover",-76.877524,38.914549,30084.605052,0.816102 
"20794","24","00902","MD","Jessup, MD","Howard County (East)--Columbia (East), Ellicott City (Southeast) & Elkridge",-76.80681,39.155476,8402.527934,0.550364 
"20794","24","01201","MD","Jessup, MD","Anne Arundel County (Northwest)--Severn, Odenton, Crofton, Maryland City & Fort Meade",-76.770502,39.141345,6864.684713,0.449636 
"20812","24","01004","MD","Glen Echo, MD","Montgomery County (South)--Bethesda, Potomac & North Bethesda",-77.142532,38.969708,273.91579,1 
"20814","24","01004","MD","Bethesda, MD","Montgomery County (South)--Bethesda, Potomac & North Bethesda",-77.101794,39.001275,28739.674395,0.967911 
"20814","24","01005","MD","Bethesda, MD","Montgomery County (East Central)--Wheaton, Aspen Hill & Glenmont",-77.093181,39.01831,952.797279,0.032089 
"20815","24","01004","MD","Chevy Chase, MD","Montgomery County (South)--Bethesda, Potomac & North Bethesda",-77.083739,38.977319,28960.955387,0.927068 
"20815","24","01007","MD","Chevy Chase, MD","Montgomery County (Southeast)--Takoma Park City & Silver Spring",-77.056386,38.992958,2278.334868,0.072932 
"20816","24","01004","MD","Bethesda, MD","Montgomery County (South)--Bethesda, Potomac & North Bethesda",-77.114135,38.958837,17410.302471,1 
